Year,Start,End,Total Samples,Appx Meters,Notes,Fm1,Fm2,LAT,LON,Age
2011,B103,B103,,45.24,Whetstones-Dry Canyon,,,31.773202,-110.377627,Penn
2011,B104,B105,301,120.2,Lead Camp Canyon,San Andres,,32.735047,-106.570394,Carb
2011,B201,B206,271,208.5,Arrow Canyon,Yellowpine,Battleship Wash,36.732057,-114.78401,Carb
2011,B207,B207,,350,Honaker Trail,Honaker,Paradox,37.18559,-109.961676,Penn
2011,B208,B210,,162.6,Horse Creek,,,41.4587978062396,-105.240448858583,Carb
2011,B211,B211,,309.7,Clark's Fork Yellowstone,,,44.851743,-109.302964,Miss
2011,B212,B212,,818.7,Cherry Creek,,,40.083685,-114.8647,Penn
2011,B213,B213,,48.2,Glendo Road Cut,,,42.564889,-105.055993,Penn
2012,B401,B401,,313.8,Raplee,Honaker,Paradox,37.180634,-109.819463,Penn
2012,B402,B402,,114,Strawberry Creek,,,42.844865,-110.861244,Miss
2012,B403,B403,,292.9,Brazier Canyon,,,41.677927,-111.064488,Penn
2012,B404,B404,,185.3,Moorman Ranch,Ely,,39.359064,-115.350222,Penn
2012,B405,B405,,10.43,Nine Mile Canyon,Ely,,40.643199,-114.646658,Penn
2012,B406,B406,,7.4,Raplee Mini,Honaker,,37.18054,-109.822477,Penn
2012,B407,B407,193,126.4539,B373,Ismay,Desert Creek,36.236044,-107.733843,Penn
2012,B408,B408,43,54.102,D217,Ismay,,37.45263,-109.12522,Penn
2012,B409,B409,54,229.7938,D418,Ismay,Akah,37.143985,-108.483896,Penn
2012,B410,B410,166,123.9774,B391,Desert Creek,Akah,36.14718109,-107.4625757,Penn
2012,B411,B411,30,65.5193,D969,Desert Creek,,37.584144,-108.83063,Penn
2012,B412,B412,52,32.004,C558,Desert Creek,,37.316572,-108.274472,Penn
2012,B413,B413,7,17.6784,B730,Desert Creek,,37.619303,-108.992755,Penn
2012,B414,B414,92,109.6518,R856,Desert Creek,Ismay,37.49101,-109.16532,Penn
2012,B415,B415,127,115.5192,E079,Desert Creek,Ismay,37.27477,-109.26047,Penn
2012,B416,B416,80,101.9556,U956,Leadville,,38.29743,-108.8952,Miss
2012,B417,B417,116,104.8004,D751,Leadville,,38.042046,-108.87748,Miss
2012,B418,B418,47,58.2803,A652,Ismay,Hermosa,37.22766,-109.002152,Penn
2012,B419,B419,16,45.466,A623,Ismay,,37.23145,-109.002182,Penn
2012,B420,B420,51,31.8008,A376,Ismay,Hermosa,37.22766,-109.002152,Penn
2013,B501,B502,,,Hoback Canyon,,,43.283622,-110.61847,Miss
2013,B503,B503,,69,Crazy Woman Creek,,,44.184918,-106.850331,Miss
2014,B601,B601,,,Arrow Canyon,,,36.71325,-114.801777,Miss
2014,B602,B602,,,Arrow Canyon,,,36.715162,-114.790614,Miss
2014,B603,B603,,,Arrow Canyon,,,36.680592,-114.804877,Miss
2014,B604,B604,,,Arrow Canyon,,,36.69998,-114.800013,Miss
2014,B605,B605,,,Arrow Canyon,,,36.68433,-114.803918,Miss
2014,B606,B606,,,Arrow Canyon,,,36.801634,-114.767549,Miss
2014,B607,B607,,,Arrow Canyon,,,36.791425,-114.768394,Miss
2014,BL1,BL1,,,Arrow Canyon Lateral,,,36.71325,-114.801777,Miss
2014,BL2,BL2,,,Arrow Canyon Lateral,,,36.71325,-114.801777,Miss
